Elevation,YEAR,Treatment,aspect,slope,InitialHabitat,BlockNo,Shannon,Richness
62.687,2020,SummerExclosure,140,2,Rangeland,6,0.8974451219472189,8
63.076,2020,WinterExclosure,101,2,Rangeland,6,0.8532176448003375,10
48.962,2020,Control,89,11,Rangeland,60,2.404633047148498,30
48.915,2020,Mowing,62,9,Rangeland,60,1.698588898479518,21
49.978,2020,PermanentExclosure,92,10,Rangeland,60,2.342706057334415,26
48.767,2020,SummerExclosure,74,8,Rangeland,60,2.232700904429548,30
49.381,2020,WinterExclosure,61,8,Rangeland,60,2.425867412616107,29
50.261,2020,Control,100,8,Rangeland,61,3.1332917100275193,39
49.945,2020,Mowing,278,1,Rangeland,61,1.9598936106487967,26
49.805,2020,PermanentExclosure,260,1,Rangeland,61,2.538458269438292,31
49.931,2020,SummerExclosure,276,2,Rangeland,61,1.986917017977929,28
50.06,2020,WinterExclosure,284,2,Rangeland,61,2.6889480782619035,37
47.82,2020,Control,94,8,Rangeland,62,1.9838265325687539,18
47.025,2020,Mowing,255,10,Rangeland,62,1.9540198771541402,23
46.711,2020,PermanentExclosure,100,8,Rangeland,62,1.699070058436793,20
46.482,2020,SummerExclosure,258,8,Rangeland,62,1.9487870815151862,20
46.733,2020,WinterExclosure,260,2,Rangeland,62,1.8287361553935073,24
3.256,2020,Control,0,0,Meadow,69,2.1686434477891225,16
3.277,2020,Mowing,0,0,Meadow,69,1.8833802966252813,17
3.197,2020,PermanentExclosure,0,0,Meadow,69,1.393552443021809,11
3.242,2020,SummerExclosure,0,0,Meadow,69,1.6134109161334114,17
3.268,2020,WinterExclosure,0,0,Meadow,69,1.8955063242875798,23
3.109,2020,Control,0,0,Rangeland,70,2.2147200227125525,27
3.349,2020,Mowing,0,0,Rangeland,70,1.6267987916935516,19
3.209,2020,PermanentExclosure,0,0,Rangeland,70,2.38393858588994,22
3.24,2020,SummerExclosure,0,0,Rangeland,70,2.196363401026939,25
3.25,2020,WinterExclosure,0,0,Rangeland,70,2.0922692861643304,18
59.102,2020,Control,156,4,Rangeland,74,2.8082980323250646,29
58.241,2020,Mowing,141,6,Rangeland,74,2.729256892429725,26
59.51,2020,PermanentExclosure,101,6,Rangeland,74,2.038473300095358,21
59.577,2020,SummerExclosure,171,4,Rangeland,74,2.9692047857656205,38
58.453,2020,WinterExclosure,107,6,Rangeland,74,2.5858309312315932,34
3.024,2020,Control,0,0,Meadow,85,1.7379264996711772,17
3.041,2020,Mowing,0,0,Meadow,85,1.2395538245884377,15
2.971,2020,PermanentExclosure,0,0,Meadow,85,2.0622415606412887,14
2.995,2020,SummerExclosure,0,0,Meadow,85,2.126908043660556,20
2.963,2020,WinterExclosure,0,0,Meadow,85,2.116863341552608,16
2.953,2020,Control,0,0,Meadow,95,2.4869166662983813,27
2.949,2020,Mowing,0,0,Meadow,95,1.8079370624239628,17
3.106,2020,PermanentExclosure,0,0,Meadow,95,1.8092856365997505,17
2.981,2020,SummerExclosure,0,0,Meadow,95,2.535250332777067,25
3.011,2020,WinterExclosure,0,0,Meadow,95,2.285812795830566,24
4.612,2020,Control,82,6,Forest,96,1.019587483966998,5
2.43366667,2020,Mowing,152,4,Forest,96,1.6430932838546255,7
15.355,2020,PermanentExclosure,164,2,Forest,96,1.7551483371496814,10
2.419,2020,SummerExclosure,40,1,Forest,96,1.637730177953323,8
2.18666667,2020,WinterExclosure,352,1,Forest,96,1.0700096466385427,6
2.091,2020,Control,268,1,Forest,97,1.0833869173812531,6
4.573,2020,Mowing,116,2,Forest,97,0.6615632381579821,2
4.563,2020,PermanentExclosure,268,6,Forest,97,0.4288088793659935,4
6.361,2020,SummerExclosure,140,1,Forest,97,0.9799161115551007,5
2.608,2020,WinterExclosure,42,2,Forest,97,1.14691482761245,4
